Ont name,Classification time (ms),Reasoner
00002.owl_functional.owl,5677.5,HERMIT
00006.owl_functional.owl,3021,HERMIT
00010.owl_functional.owl,2227.5,HERMIT
00018.owl_functional.owl,359918.5,HERMIT
00021.owl_functional.owl,1307810,HERMIT
00023.owl_functional.owl,1975,HERMIT
00032.owl_functional.owl,33361,HERMIT
00033.owl_functional.owl,3600000,HERMIT
00038.owl_functional.owl,3600000,HERMIT
00043.owl_functional.owl,306024.5,HERMIT
00045.owl_functional.owl,3600000,HERMIT
00046.owl_functional.owl,198814.5,HERMIT
00048.owl_functional.owl,365294.5,HERMIT
00052.owl_functional.owl,16349.5,HERMIT
00076.owl_functional.owl,1449,HERMIT
00080.owl_functional.owl,2967.5,HERMIT
00103.owl_functional.owl,1499.5,HERMIT
00104.owl_functional.owl,12163,HERMIT
00140.owl_functional.owl,1421,HERMIT
00142.owl_functional.owl,1565,HERMIT
00147.owl_functional.owl,893.5,HERMIT
00148.owl_functional.owl,1499,HERMIT
00157.owl_functional.owl,1386,HERMIT
00158.owl_functional.owl,1281,HERMIT
00175.owl_functional.owl,1413.5,HERMIT
00195.owl_functional.owl,954,HERMIT
00232.owl_functional.owl,1370.5,HERMIT
00283.owl_functional.owl,203682,HERMIT
00284.owl_functional.owl,3600000,HERMIT
00290.owl_functional.owl,1524,HERMIT
002ac23d-2e70-4de2-b72d-c47585a1447b_xenc.owl_functional.owl,2094,HERMIT
00301.owl_functional.owl,1407.5,HERMIT
0030107c-7315-4a26-a530-2346f0ced0b7__gathering.owl_functional.owl,1468,HERMIT
00303.owl_functional.owl,1326,HERMIT
00347.owl_functional.owl,11841.5,HERMIT
00350.owl_functional.owl,1093053,HERMIT
00351.owl_functional.owl,5115,HERMIT
00355.owl_functional.owl,1521,HERMIT
00363.owl_functional.owl,1095.5,HERMIT
00378.owl_functional.owl,111361,HERMIT
00380.owl_functional.owl,9798,HERMIT
00381.owl_functional.owl,6980.5,HERMIT
00386.owl_functional.owl,21404.5,HERMIT
00391.owl_functional.owl,40069,HERMIT
00402.owl_functional.owl,6844.5,HERMIT
00405.owl_functional.owl,992,HERMIT
00412d8c-f97f-4e3d-b184-9a8133e74e61_phenWave.owl_functional.owl,216238.5,HERMIT
00413.owl_functional.owl,7639,HERMIT
00422.owl_functional.owl,2727,HERMIT
00424.owl_functional.owl,5404,HERMIT
00426.owl_functional.owl,101492.5,HERMIT
0042fff2-8249-44c1-bad9-f8b4da5a1a66_personale.owl_functional.owl,2945,HERMIT
00436.owl_functional.owl,66277.5,HERMIT
00448.owl_functional.owl,227918.5,HERMIT
00450.owl_functional.owl,22872,HERMIT
00455.owl_functional.owl,2572.5,HERMIT
00457.owl_functional.owl,4703.5,HERMIT
00458.owl_functional.owl,2845,HERMIT
00459.owl_functional.owl,9975,HERMIT
00461.owl_functional.owl,107311.5,HERMIT
00463.owl_functional.owl,3600000,HERMIT
00469.owl_functional.owl,2150.5,HERMIT
00471.owl_functional.owl,101502,HERMIT
00474.owl_functional.owl,1014.5,HERMIT
00478.owl_functional.owl,2097,HERMIT
00487.owl_functional.owl,164400,HERMIT
00488.owl_functional.owl,63637.5,HERMIT
00493.owl_functional.owl,1055.5,HERMIT
004bcac9-cc85-49ce-b887-95ef9d6f7f0d_Validation.owl_functional.owl,216334.5,HERMIT
00508.owl_functional.owl,2680,HERMIT
00511.owl_functional.owl,2589,HERMIT
00513.owl_functional.owl,1673.5,HERMIT
00515.owl_functional.owl,4170,HERMIT
00518.owl_functional.owl,46031.5,HERMIT
00519.owl_functional.owl,1151.5,HERMIT
00521.owl_functional.owl,6370,HERMIT
00523.owl_functional.owl,4530.5,HERMIT
00530.owl_functional.owl,11562,HERMIT
00532.owl_functional.owl,62569.5,HERMIT
00534.owl_functional.owl,1753,HERMIT
00535.owl_functional.owl,14635.5,HERMIT
00539.owl_functional.owl,1162.5,HERMIT
00541.owl_functional.owl,3600000,HERMIT
00545.owl_functional.owl,21872.5,HERMIT
00546.owl_functional.owl,4338,HERMIT
00547.owl_functional.owl,5011,HERMIT
00574.owl_functional.owl,2605.5,HERMIT
00575.owl_functional.owl,2363.5,HERMIT
00594.owl_functional.owl,4358,HERMIT
00595.owl_functional.owl,5790,HERMIT
00627.owl_functional.owl,4841.5,HERMIT
00632.owl_functional.owl,5315.5,HERMIT
00633.owl_functional.owl,6732,HERMIT
00638.owl_functional.owl,1521,HERMIT
00640.owl_functional.owl,2004,HERMIT
00643.owl_functional.owl,1592,HERMIT
00650.owl_functional.owl,1850,HERMIT
00667.owl_functional.owl,3848.5,HERMIT
00672.owl_functional.owl,1006.5,HERMIT
00674.owl_functional.owl,6171.5,HERMIT
00686.owl_functional.owl,341687.5,HERMIT
00691.owl_functional.owl,1555.5,HERMIT
00697.owl_functional.owl,6494,HERMIT
00698.owl_functional.owl,-1,HERMIT
00717.owl_functional.owl,1297.5,HERMIT
00729.owl_functional.owl,6165.5,HERMIT
0072ac62-ae30-4091-b6cb-c641c7da55f9_dasnetwork.owl_functional.owl,1724.5,HERMIT
00762.owl_functional.owl,9484,HERMIT
00775.owl_functional.owl,-1,HERMIT
00777.owl_functional.owl,1293.5,HERMIT
00778.owl_functional.owl,3600000,HERMIT
00779.owl_functional.owl,13222,HERMIT
00783.owl_functional.owl,16838.5,HERMIT
009fdc13-8a0a-426c-8c74-4a9f4d562cce_hasMet.rdf_functional.owl,1279.5,HERMIT
00a05055-ab02-4f3c-aa7b-45689558a1f8_I1063_test.rdf_functional.owl,1509.5,HERMIT
00a47ea4-c236-4894-b8fb-a15d3d66c110_onto.rdf_functional.owl,1729,HERMIT
00b7bf3c-ec7f-4636-801a-c965deb4cc17_1.1_functional.owl,1640,HERMIT
00dcdb60-5ca1-4aa0-989a-3336283ca261_ICODMOPINF.owl_functional.owl,10357.5,HERMIT
0114933a-4dc8-4fe1-a966-81e46b6c4d89_an_anatomy.obo_functional.owl,2010.5,HERMIT
01162565-2898-4a4a-b70d-381dc2eba63c_Bed.rdf_functional.owl,1946,HERMIT
0129d06f-06c2-4e4b-94db-cc0c65fab9cc_COSMOtop853.owl_functional.owl,3600000,HERMIT
01382d6d-97af-4344-9a44-09920e89107b_e_detector.ttl_functional.owl,2074,HERMIT
013d0d66-afad-4519-b2b4-f8110430dab0_Windhoek.rdf_functional.owl,2070.5,HERMIT
013ee5a1-63bc-4f12-92dc-04492eecbc9a_rus_05.03f.owl_functional.owl,43227.5,HERMIT
01412b45-9f6a-40bf-bf89-603b7566cfb4_edas.owl_functional.owl,2142.5,HERMIT
0145d471-5428-4bf1-acff-fec7e5213789_regulation.owl_functional.owl,85228.5,HERMIT
01648f49-5e2f-4439-abfa-4bdf96aa7226_vivocore0.9.owl_functional.owl,2186,HERMIT
01732031-cfd0-4eef-b650-2e1262b7426d_Eel.rdf_functional.owl,1932.5,HERMIT
017583af-b800-4fb9-bed8-b9ff82e81c8b_nGeolFault.owl_functional.owl,206173.5,HERMIT
0178f9d7-734b-4a2d-9102-6bc23e102a6c_rtbouillon.rdf_functional.owl,1986,HERMIT
